Frame,Class,Confidence
1,unsafe_helmet,0.9201260805130005
2,unsafe_helmet,0.9162079691886902
3,unsafe_helmet,0.9180161952972412
4,unsafe_helmet,0.9167619347572327
5,unsafe_helmet,0.9114322066307068
6,unsafe_helmet,0.9165293574333191
7,unsafe_helmet,0.9114591479301453
8,unsafe_helmet,0.9160324931144714
9,unsafe_helmet,0.8849439024925232
10,unsafe_helmet,0.8932446837425232
11,unsafe_helmet,0.8787358999252319
12,unsafe_helmet,0.8957575559616089
13,unsafe_helmet,0.8490556478500366
14,unsafe_helmet,0.8624717593193054
15,unsafe_helmet,0.8886966705322266
16,unsafe_helmet,0.9200265407562256
17,unsafe_helmet,0.9041151404380798
18,unsafe_helmet,0.9143711924552917
19,unsafe_helmet,0.9074038863182068
20,unsafe_helmet,0.9038594961166382
21,unsafe_helmet,0.9177332520484924
22,unsafe_helmet,0.9232950210571289
23,unsafe_helmet,0.9264023900032043
24,unsafe_helmet,0.9271479249000549
25,unsafe_helmet,0.927372395992279
26,unsafe_helmet,0.9246758222579956
27,unsafe_helmet,0.9227675199508667
28,unsafe_helmet,0.9086275100708008
29,unsafe_helmet,0.9175336956977844
30,unsafe_helmet,0.9204328656196594
31,unsafe_helmet,0.9208800792694092
32,unsafe_helmet,0.9211098551750183
33,unsafe_helmet,0.9142473340034485
34,unsafe_helmet,0.9176973104476929
35,unsafe_helmet,0.9201340079307556
